timestamp;LoadavgPercent_MIN;LoadavgPercent_MAX;LoadavgPercent_AVERAGE;ldavg-1_MIN;ldavg-1_MAX;ldavg-1_AVERAGE;ldavg-5_MIN;ldavg-5_MAX;ldavg-5_AVERAGE;ldavg-15_MIN;ldavg-15_MAX;ldavg-15_AVERAGE;runq-sz_MIN;runq-sz_MAX;runq-sz_AVERAGE;plist-sz_MIN;plist-sz_MAX;plist-sz_AVERAGE;blocked_MIN;blocked_MAX;blocked_AVERAGE
1615266900;0.015;0.015;0.015;0.0024;0.0024;0.0024;0.0112;0.0112;0.0112;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615266960;0.015;0.015;0.015;0.0024;0.0024;0.0024;0.0112;0.0112;0.0112;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267020;0.015;0.015;0.015;0.0024;0.0024;0.0024;0.0112;0.0112;0.0112;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267080;0.015;0.015;0.015;0.0024;0.0024;0.0024;0.0112;0.0112;0.0112;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267140;0.06;0.06;0.06;0.0096;0.0096;0.0096;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615267200;0.06;0.06;0.06;0.0096;0.0096;0.0096;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615267260;0.06;0.06;0.06;0.0096;0.0096;0.0096;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615267320;0.06;0.06;0.06;0.0096;0.0096;0.0096;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615267380;0.06;0.06;0.06;0.0096;0.0096;0.0096;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615267440;0.0025;0.0025;0.0025;0.0004;0.0004;0.0004;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267500;0.0025;0.0025;0.0025;0.0004;0.0004;0.0004;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267560;0.0025;0.0025;0.0025;0.0004;0.0004;0.0004;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267620;0.0025;0.0025;0.0025;0.0004;0.0004;0.0004;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615267680;0.0025;0.0025;0.0025;0.0004;0.0004;0.0004;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
